,customer_id,Total_Orders,Total_Revenue,Average_Order_Value,Purchase_Frequency,CLV,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Churn
28,12374.0,4,2989.2200000000003,747.3050000000001,4,2989.2200000000003,25,4,2989.2200000000003,4,3,4,434,0
29,12375.0,2,457.5,228.75,2,457.5,11,2,457.5,4,2,2,422,0
30,12376.0,2,503.15,251.575,2,503.15,390,2,503.15,1,2,2,122,1
31,12377.0,4,3426.32,856.58,4,3426.32,315,4,3426.32,2,3,4,234,1
32,12378.0,2,5416.32,2708.16,2,5416.32,130,2,5416.32,2,2,4,224,1
33,12379.0,4,1620.22,405.055,4,1620.22,82,4,1620.22,3,3,3,333,0
34,12380.0,11,9676.300000000001,879.6636363636364,11,9676.300000000001,22,11,9676.300000000001,4,4,4,444,0
35,12381.0,5,1845.31,369.062,5,1845.31,5,5,1845.31,4,3,3,433,0
36,12383.0,5,1850.56,370.11199999999997,5,1850.56,185,5,1850.56,2,3,3,233,1
37,12384.0,2,585.27,292.635,2,585.27,29,2,585.27,3,2,2,322,0
38,12385.0,1,1938.4,1938.4,1,1938.4,379,1,1938.4,2,1,3,213,1
39,12386.0,2,660.8000000000001,330.40000000000003,2,660.8000000000001,338,2,660.8000000000001,2,2,2,222,1
40,12387.0,1,143.94,143.94,1,143.94,415,1,143.94,1,1,1,111,1
41,12388.0,8,3901.11,487.63875,8,3901.11,16,8,3901.11,4,4,4,444,0
42,12389.0,3,1433.33,477.77666666666664,3,1433.33,403,3,1433.33,1,2,3,123,1
43,12390.0,1,549.84,549.84,1,549.84,80,1,549.84,3,1,2,312,0
44,12391.0,6,2773.42,462.2366666666667,6,2773.42,22,6,2773.42,4,3,4,434,0
45,12392.0,1,234.75000000000003,234.75000000000003,1,234.75000000000003,591,1,234.75000000000003,1,1,1,111,1
46,12393.0,6,2399.45,399.9083333333333,6,2399.45,72,6,2399.45,3,3,4,334,0
47,12394.0,2,1272.48,636.24,2,1272.48,64,2,1272.48,3,2,3,323,0
48,12395.0,15,5067.27,337.81800000000004,15,5067.27,19,15,5067.27,4,4,4,444,0
49,12396.0,1,931.4300000000001,931.4300000000001,1,931.4300000000001,674,1,931.4300000000001,1,1,3,113,1
50,12397.0,2,2409.9,1204.95,2,2409.9,36,2,2409.9,3,2,4,324,0
51,12398.0,1,1635.6599999999999,1635.6599999999999,1,1635.6599999999999,46,1,1635.6599999999999,3,1,3,313,0
52,12399.0,7,1962.3,280.3285714285714,7,1962.3,119,7,1962.3,2,3,3,233,1
53,12400.0,1,205.25,205.25,1,205.25,414,1,205.25,1,1,1,111,1
54,12401.0,1,84.3,84.3,1,84.3,303,1,84.3,2,1,1,211,1
55,12402.0,6,1256.9,209.48333333333335,6,1256.9,323,6,1256.9,2,3,3,233,1
56,12403.0,2,1019.36,509.68,2,1019.36,50,2,1019.36,3,2,3,323,0
57,12404.0,1,63.24,63.24,1,63.24,682,1,63.24,1,1,1,111,1
58,12405.0,1,1710.39,1710.39,1,1710.39,149,1,1710.39,2,1,3,213,1
59,12406.0,5,6390.36,1278.072,5,6390.36,22,5,6390.36,4,3,4,434,0
60,12407.0,5,1708.12,341.62399999999997,5,1708.12,50,5,1708.12,3,3,3,333,0
61,12408.0,8,4340.77,542.59625,8,4340.77,33,8,4340.77,3,4,4,344,0
62,12409.0,7,23419.29,3345.612857142857,7,23419.29,79,7,23419.29,3,3,4,334,0
63,12410.0,3,1013.71,337.90333333333336,3,1013.71,309,3,1013.71,2,2,3,223,1
64,12411.0,1,346.9,346.9,1,346.9,410,1,346.9,1,1,1,111,1
65,12412.0,6,2596.93,432.82166666666666,6,2596.93,75,6,2596.93,3,3,4,334,0
66,12413.0,4,999.45,249.8625,4,999.45,67,4,999.45,3,3,3,333,0
67,12414.0,6,952.4100000000001,158.735,6,952.4100000000001,217,6,952.4100000000001,2,3,3,233,1
68,12415.0,28,144458.37,5159.2275,28,144458.37,24,28,144458.37,4,4,4,444,0
69,12416.0,1,202.56,202.56,1,202.56,657,1,202.56,1,1,1,111,1
70,12417.0,20,6816.91,340.8455,20,6816.91,3,20,6816.91,4,4,4,444,0
71,12418.0,4,2021.2,505.3,4,2021.2,113,4,2021.2,2,3,3,233,1
72,12419.0,2,503.01,251.505,2,503.01,386,2,503.01,1,2,2,122,1
73,12420.0,1,600.39,600.39,1,600.39,64,1,600.39,3,1,2,312,0
74,12421.0,6,1098.6,183.1,6,1098.6,16,6,1098.6,4,3,3,433,0
75,12422.0,17,5231.8,307.7529411764706,17,5231.8,96,17,5231.8,3,4,4,344,1
76,12423.0,10,2622.39,262.239,10,2622.39,1,10,2622.39,4,4,4,444,0
77,12424.0,4,3340.0299999999997,835.0074999999999,4,3340.0299999999997,163,4,3340.0299999999997,2,3,4,234,1
78,12425.0,2,1741.41,870.705,2,1741.41,78,2,1741.41,3,2,3,323,0
79,12426.0,2,1345.21,672.605,2,1345.21,195,2,1345.21,2,2,3,223,1
80,12427.0,3,1129.3,376.43333333333334,3,1129.3,22,3,1129.3,4,2,3,423,0
81,12428.0,9,7956.46,884.0511111111111,9,7956.46,26,9,7956.46,4,4,4,444,0
82,12429.0,8,7485.91,935.73875,8,7485.91,9,8,7485.91,4,4,4,444,0
83,12430.0,1,256.4,256.4,1,256.4,43,1,256.4,3,1,1,311,0
84,12431.0,27,10857.970000000001,402.1470370370371,27,10857.970000000001,36,27,10857.970000000001,3,4,4,344,0
85,12432.0,5,5059.32,1011.8639999999999,5,5059.32,43,5,5059.32,3,3,4,334,0
86,12433.0,10,20581.260000000002,2058.126,10,20581.260000000002,1,10,20581.260000000002,4,4,4,444,0
87,12434.0,3,1103.43,367.81,3,1103.43,85,3,1103.43,3,2,3,323,0
88,12435.0,6,13925.93,2320.9883333333332,6,13925.93,80,6,13925.93,3,3,4,334,0
89,12436.0,1,509.01,509.01,1,509.01,100,1,509.01,2,1,2,212,1
90,12437.0,39,12683.4,325.2153846153846,39,12683.4,2,39,12683.4,4,4,4,444,0
91,12438.0,2,2906.85,1453.425,2,2906.85,14,2,2906.85,4,2,4,424,0
92,12439.0,2,1158.18,579.09,2,1158.18,683,2,1158.18,1,2,3,123,1
93,12440.0,2,859.2,429.6,2,859.2,462,2,859.2,1,2,2,122,1
94,12441.0,1,347.1,347.1,1,347.1,367,1,347.1,2,1,1,211,1
95,12442.0,1,172.06,172.06,1,172.06,3,1,172.06,4,1,1,411,0
96,12443.0,1,485.31,485.31,1,485.31,732,1,485.31,1,1,2,112,1
97,12444.0,5,5005.46,1001.092,5,5005.46,21,5,5005.46,4,3,4,434,0
98,12445.0,2,434.98,217.49,2,434.98,22,2,434.98,4,2,2,422,0
99,12446.0,1,1002.3100000000001,1002.3100000000001,1,1002.3100000000001,58,1,1002.3100000000001,3,1,3,313,0
100,12447.0,1,476.49,476.49,1,476.49,243,1,476.49,2,1,2,212,1
101,12448.0,1,449.45,449.45,1,449.45,44,1,449.45,3,1,2,312,0
102,12449.0,6,4835.89,805.9816666666667,6,4835.89,22,6,4835.89,4,3,4,434,0
103,12450.0,5,688.2,137.64000000000001,5,688.2,156,5,688.2,2,3,2,232,1
104,12451.0,8,12669.88,1583.735,8,12669.88,11,8,12669.88,4,4,4,444,0
105,12452.0,2,430.57000000000005,215.28500000000003,2,430.57000000000005,17,2,430.57000000000005,4,2,2,422,0
106,12453.0,1,707.09,707.09,1,707.09,134,1,707.09,2,1,2,212,1
107,12454.0,5,16679.78,3335.9559999999997,5,16679.78,56,5,16679.78,3,3,4,334,0
108,12455.0,10,5879.95,587.995,10,5879.95,73,10,5879.95,3,4,4,344,0
109,12456.0,3,3181.04,1060.3466666666666,3,3181.04,44,3,3181.04,3,2,4,324,0
110,12457.0,8,2995.91,374.48875,8,2995.91,66,8,2995.91,3,4,4,344,0
111,12458.0,4,1777.49,444.3725,4,1777.49,71,4,1777.49,3,3,3,333,0
112,12459.0,1,454.36,454.36,1,454.36,605,1,454.36,1,1,2,112,1
113,12460.0,1,326.65,326.65,1,326.65,456,1,326.65,1,1,1,111,1
114,12461.0,2,826.88,413.44,2,826.88,94,2,826.88,3,2,2,322,1
115,12462.0,2,1189.59,594.795,2,1189.59,19,2,1189.59,4,2,3,423,0
116,12463.0,4,1344.78,336.195,4,1344.78,53,4,1344.78,3,3,3,333,0
117,12464.0,8,1212.05,151.50625,8,1212.05,10,8,1212.05,4,4,3,443,0
118,12465.0,2,742.19,371.095,2,742.19,17,2,742.19,4,2,2,422,0
119,12466.0,1,56.73,56.73,1,56.73,682,1,56.73,1,1,1,111,1
120,12467.0,1,132.8,132.8,1,132.8,423,1,132.8,1,1,1,111,1
121,12468.0,5,3670.7400000000002,734.148,5,3670.7400000000002,188,5,3670.7400000000002,2,3,4,234,1
122,12469.0,2,3070.54,1535.27,2,3070.54,523,2,3070.54,1,2,4,124,1
123,12470.0,1,211.95,211.95,1,211.95,690,1,211.95,1,1,1,111,1
124,12471.0,79,39963.79,505.8707594936709,79,39963.79,2,79,39963.79,4,4,4,444,0
125,12472.0,19,17880.59,941.0836842105264,19,17880.59,32,19,17880.59,3,4,4,344,0
126,12473.0,5,3938.55,787.71,5,3938.55,29,5,3938.55,3,3,4,334,0
127,12474.0,31,12424.45,400.7887096774194,31,12424.45,17,31,12424.45,4,4,4,444,0
128,12475.0,2,1149.64,574.82,2,1149.64,54,2,1149.64,3,2,3,323,0
129,12476.0,23,14115.41,613.7134782608696,23,14115.41,16,23,14115.41,4,4,4,444,0
130,12477.0,9,20276.37,2252.93,9,20276.37,23,9,20276.37,4,4,4,444,0
131,12478.0,1,680.99,680.99,1,680.99,4,1,680.99,4,1,2,412,0
132,12479.0,1,527.2,527.2,1,527.2,11,1,527.2,4,1,2,412,0
133,12480.0,7,5464.85,780.6928571428572,7,5464.85,28,7,5464.85,3,3,4,334,0
134,12481.0,15,12361.39,824.0926666666667,15,12361.39,23,15,12361.39,4,4,4,444,0
135,12482.0,29,23691.4,816.944827586207,29,23691.4,576,29,23691.4,1,4,4,144,1
136,12483.0,19,5120.58,269.5042105263158,19,5120.58,17,19,5120.58,4,4,4,444,0
137,12484.0,12,6370.15,530.8458333333333,12,6370.15,33,12,6370.15,3,4,4,344,0
138,12485.0,1,708.1,708.1,1,708.1,529,1,708.1,1,1,2,112,1
139,12486.0,1,1037.28,1037.28,1,1037.28,432,1,1037.28,1,1,3,113,1
140,12487.0,1,285.3,285.3,1,285.3,731,1,285.3,1,1,1,111,1
141,12488.0,3,1298.66,432.8866666666667,3,1298.66,10,3,1298.66,4,2,3,423,0
142,12489.0,1,334.93,334.93,1,334.93,336,1,334.93,2,1,1,211,1
143,12490.0,21,9823.64,467.79238095238094,21,9823.64,5,21,9823.64,4,4,4,444,0
144,12491.0,1,460.40000000000003,460.40000000000003,1,460.40000000000003,39,1,460.40000000000003,3,1,2,312,0
145,12492.0,3,715.21,238.40333333333334,3,715.21,63,3,715.21,3,2,2,322,0
146,12493.0,2,433.74,216.87,2,433.74,166,2,433.74,2,2,2,222,1
147,12494.0,9,1872.8700000000001,208.0966666666667,9,1872.8700000000003,16,9,1872.8700000000001,4,4,3,443,0
148,12495.0,1,357.4,357.4,1,357.4,641,1,357.4,1,1,2,112,1
149,12496.0,2,54.09,27.045,2,54.09,620,2,54.09,1,2,1,121,1
150,12497.0,3,6248.5,2082.8333333333335,3,6248.5,82,3,6248.5,3,2,4,324,0
151,12498.0,3,403.70000000000005,134.5666666666667,3,403.70000000000005,21,3,403.70000000000005,4,2,2,422,0
152,12499.0,1,393.72,393.72,1,393.72,560,1,393.72,1,1,2,112,1
153,12500.0,19,5955.21,313.4321052631579,19,5955.21,23,19,5955.21,4,4,4,444,0
154,12501.0,1,2169.39,2169.39,1,2169.39,337,1,2169.39,2,1,3,213,1
155,12502.0,5,3723.87,744.774,5,3723.87,96,5,3723.87,3,3,4,334,1
156,12503.0,1,1126.0,1126.0,1,1126.0,584,1,1126.0,1,1,3,113,1
157,12504.0,4,779.05,194.7625,4,779.05,18,4,779.05,4,3,2,432,0
158,12505.0,1,955.2,955.2,1,955.2,409,1,955.2,1,1,3,113,1
159,12506.0,1,73.5,73.5,1,73.5,233,1,73.5,2,1,1,211,1
160,12507.0,4,1844.06,461.015,4,1844.06,134,4,1844.06,2,3,3,233,1
161,12508.0,2,398.27,199.135,2,398.27,26,2,398.27,4,2,2,422,0
162,12509.0,1,176.5,176.5,1,176.5,284,1,176.5,2,1,1,211,1
163,12510.0,9,5178.02,575.3355555555556,9,5178.02,143,9,5178.02,2,4,4,244,1
164,12511.0,1,3084.02,3084.02,1,3084.02,429,1,3084.02,1,1,4,114,1
165,12512.0,2,138.03,69.015,2,138.03,66,2,138.03,3,2,1,321,0
166,12513.0,1,612.29,612.29,1,612.29,113,1,612.29,2,1,2,212,1
167,12514.0,2,1597.76,798.88,2,1597.76,267,2,1597.76,2,2,3,223,1
168,12515.0,1,383.7,383.7,1,383.7,353,1,383.7,2,1,2,212,1
169,12516.0,4,2648.62,662.155,4,2648.62,78,4,2648.62,3,3,4,334,0
170,12517.0,5,2502.84,500.56800000000004,5,2502.84,28,5,2502.84,3,3,4,334,0
171,12518.0,5,2056.89,411.378,5,2056.89,1,5,2056.89,4,3,3,433,0
172,12519.0,2,726.54,363.27,2,726.54,64,2,726.54,3,2,2,322,0
173,12520.0,5,2634.26,526.8520000000001,5,2634.26,79,5,2634.26,3,3,4,334,0
174,12521.0,1,599.68,599.68,1,599.68,143,1,599.68,2,1,2,212,1
175,12522.0,2,192.72,96.36,2,192.72,39,2,192.72,3,2,1,321,0
176,12523.0,23,4372.15,190.09347826086955,23,4372.15,19,23,4372.15,4,4,4,444,0
177,12524.0,17,11126.11,654.4770588235294,17,11126.11,9,17,11126.11,4,4,4,444,0
178,12525.0,3,973.73,324.57666666666665,3,973.73,498,3,973.73,1,2,3,123,1
179,12526.0,3,1316.66,438.8866666666667,3,1316.66,1,3,1316.66,4,2,3,423,0
180,12527.0,5,735.51,147.102,5,735.51,82,5,735.51,3,3,2,332,0
181,12528.0,6,1933.48,322.24666666666667,6,1933.48,9,6,1933.48,4,3,3,433,0
182,12529.0,1,316.48,316.48,1,316.48,528,1,316.48,1,1,1,111,1
183,12530.0,9,3759.26,417.6955555555556,9,3759.26,60,9,3759.26,3,4,4,344,0
184,12531.0,2,1933.2,966.6,2,1933.2,15,2,1933.2,4,2,3,423,0
185,12532.0,1,349.83000000000004,349.83000000000004,1,349.83000000000004,30,1,349.83000000000004,3,1,2,312,0
186,12533.0,2,1367.89,683.945,2,1367.89,628,2,1367.89,1,2,3,123,1
187,12534.0,1,1089.18,1089.18,1,1089.18,131,1,1089.18,2,1,3,213,1
188,12535.0,2,716.35,358.175,2,716.35,92,2,716.35,3,2,2,322,1
189,12536.0,3,12601.830000000002,4200.610000000001,3,12601.830000000002,43,3,12601.830000000002,3,2,4,324,0
190,12537.0,1,732.94,732.94,1,732.94,409,1,732.94,1,1,2,112,1
191,12538.0,2,640.45,320.225,2,640.45,29,2,640.45,3,2,2,322,0
192,12539.0,7,11214.75,1602.107142857143,7,11214.75,22,7,11214.75,4,3,4,434,0
193,12540.0,33,22254.49,674.3784848484848,33,22254.49,20,33,22254.49,4,4,4,444,0
194,12541.0,3,981.18,327.06,3,981.1800000000001,30,3,981.18,3,2,3,323,0
195,12542.0,2,481.88,240.94,2,481.88,484,2,481.88,1,2,2,122,1
196,12543.0,1,980.25,980.25,1,980.25,448,1,980.25,1,1,3,113,1
197,12544.0,1,372.7,372.7,1,372.7,36,1,372.7,3,1,2,312,0
198,12545.0,2,1000.39,500.195,2,1000.39,75,2,1000.39,3,2,3,323,0
199,12546.0,2,1161.5,580.75,2,1161.5,47,2,1161.5,3,2,3,323,0
200,12547.0,3,383.58,127.86,3,383.58,198,3,383.58,2,2,2,222,1
201,12548.0,1,95.19999999999999,95.19999999999999,1,95.19999999999999,166,1,95.19999999999999,2,1,1,211,1
202,12549.0,6,1575.68,262.61333333333334,6,1575.68,576,6,1575.68,1,3,3,133,1
203,12550.0,1,964.83,964.83,1,964.83,79,1,964.83,3,1,3,313,0
204,12551.0,1,168.0,168.0,1,168.0,358,1,168.0,2,1,1,211,1
205,12552.0,2,437.82,218.91,2,437.82,39,2,437.82,3,2,2,322,0
206,12553.0,12,4608.75,384.0625,12,4608.75,8,12,4608.75,4,4,4,444,0
207,12554.0,1,468.5,468.5,1,468.5,449,1,468.5,1,1,2,112,1
208,12555.0,1,129.23,129.23,1,129.23,682,1,129.23,1,1,1,111,1
209,12556.0,2,603.71,301.855,2,603.71,50,2,603.71,3,2,2,322,0
210,12557.0,8,18716.14,2339.5175,8,18716.14,16,8,18716.14,4,4,4,444,0
211,12558.0,1,269.96,269.96,1,269.96,8,1,269.96,4,1,1,411,0
212,12559.0,2,561.71,280.855,2,561.71,311,2,561.71,2,2,2,222,1
213,12560.0,3,2134.01,711.3366666666667,3,2134.01,5,3,2134.01,4,2,3,423,0
214,12561.0,1,238.85,238.85,1,238.85,303,1,238.85,2,1,1,211,1
215,12562.0,9,4966.92,551.88,9,4966.92,8,9,4966.92,4,4,4,444,0
216,12563.0,1,249.24,249.24,1,249.24,409,1,249.24,1,1,1,111,1
217,12564.0,1,456.90000000000003,456.90000000000003,1,456.90000000000003,261,1,456.90000000000003,2,1,2,212,1
218,12565.0,1,145.92000000000002,145.92000000000002,1,145.92000000000002,289,1,145.92000000000002,2,1,1,211,1
219,12566.0,1,351.65,351.65,1,351.65,86,1,351.65,3,1,2,312,0
220,12567.0,15,13709.86,913.9906666666667,15,13709.86,23,15,13709.86,4,4,4,444,0
221,12568.0,1,70.0,70.0,1,70.0,645,1,70.0,1,1,1,111,1
222,12569.0,32,4124.6900000000005,128.89656250000002,32,4124.6900000000005,2,32,4124.6900000000005,4,4,4,444,0
223,12570.0,1,77.52,77.52,1,77.52,682,1,77.52,1,1,1,111,1
224,12571.0,2,519.61,259.805,2,519.61,40,2,519.61,3,2,2,322,0
225,12572.0,2,1020.4200000000001,510.21000000000004,2,1020.4200000000001,9,2,1020.4200000000001,4,2,3,423,0
226,12573.0,5,717.41,143.482,5,717.41,227,5,717.41,2,3,2,232,1
227,12574.0,1,218.45000000000002,218.45000000000002,1,218.45000000000002,316,1,218.45000000000002,2,1,1,211,1
228,12575.0,2,622.82,311.41,2,622.82,457,2,622.82,1,2,2,122,1
229,12576.0,8,2142.7200000000003,267.84000000000003,8,2142.7200000000003,36,8,2142.7200000000003,3,4,3,343,0
230,12577.0,8,1653.75,206.71875,8,1653.75,35,8,1653.75,3,4,3,343,0
231,12578.0,4,4642.45,1160.6125,4,4642.45,21,4,4642.45,4,3,4,434,0
232,12579.0,1,440.42,440.42,1,440.42,78,1,440.42,3,1,2,312,0
233,12580.0,2,1052.9,526.45,2,1052.9,247,2,1052.9,2,2,3,223,1
234,12581.0,1,197.71,197.71,1,197.71,40,1,197.71,3,1,1,311,0
235,12582.0,4,1980.4,495.1,4,1980.4,239,4,1980.4,2,3,3,233,1
236,12583.0,27,14447.44,535.0903703703704,27,14447.439999999999,3,27,14447.44,4,4,4,444,0
237,12584.0,9,2338.15,259.7944444444445,9,2338.1500000000005,4,9,2338.15,4,4,4,444,0
238,12585.0,2,2040.1,1020.05,2,2040.1,234,2,2040.1,2,2,3,223,1
239,12586.0,4,2062.67,515.6675,4,2062.67,17,4,2062.67,4,3,3,433,0
240,12587.0,1,144.0,144.0,1,144.0,8,1,144.0,4,1,1,411,0
241,12588.0,4,958.78,239.695,4,958.78,39,4,958.78,3,3,3,333,0
242,12589.0,8,4695.66,586.9575,8,4695.66,29,8,4695.66,3,4,4,344,0
243,12590.0,2,9864.26,4932.13,2,9864.26,211,2,9864.26,2,2,4,224,1
244,12591.0,3,1352.15,450.7166666666667,3,1352.15,317,3,1352.15,2,2,3,223,1
245,12592.0,5,2582.66,516.5319999999999,5,2582.66,92,5,2582.66,3,3,4,334,1
246,12593.0,3,418.1,139.36666666666667,3,418.1,109,3,418.1,2,2,2,222,1
247,12594.0,15,5090.110000000001,339.3406666666667,15,5090.110000000001,38,15,5090.110000000001,3,4,4,344,0
248,12595.0,1,299.02,299.02,1,299.02,505,1,299.02,1,1,1,111,1
249,12596.0,2,618.27,309.135,2,618.27,51,2,618.27,3,2,2,322,0
250,12597.0,4,3811.22,952.805,4,3811.22,19,4,3811.22,4,3,4,434,0
251,12598.0,11,4534.09,412.19,11,4534.09,10,11,4534.09,4,4,4,444,0
252,12599.0,13,2296.72,176.67076923076922,13,2296.72,29,13,2296.72,3,4,3,343,0
253,12600.0,21,5043.92,240.18666666666667,21,5043.92,29,21,5043.92,3,4,4,344,0
254,12601.0,6,681.26,113.54333333333334,6,681.26,190,6,681.26,2,3,2,232,1
255,12602.0,1,153.12,153.12,1,153.12,59,1,153.12,3,1,1,311,0
256,12603.0,1,739.1999999999999,739.1999999999999,1,739.1999999999999,22,1,739.1999999999999,4,1,2,412,0
257,12604.0,2,254.18,127.09,2,254.18,79,2,254.18,3,2,1,321,0
258,12605.0,4,1232.95,308.2375,4,1232.95,376,4,1232.95,2,3,3,233,1
259,12606.0,1,21.0,21.0,1,21.0,682,1,21.0,1,1,1,111,1
260,12607.0,1,1579.51,1579.51,1,1579.51,60,1,1579.51,3,1,3,313,0
261,12608.0,1,415.79,415.79,1,415.79,405,1,415.79,1,1,2,112,1
262,12609.0,9,3435.86,381.76222222222225,9,3435.86,78,9,3435.86,3,4,4,344,0
263,12610.0,5,2099.54,419.908,5,2099.54,23,5,2099.54,4,3,3,433,0
264,12611.0,1,1193.32,1193.32,1,1193.32,52,1,1193.32,3,1,3,313,0
265,12612.0,1,704.04,704.04,1,704.04,74,1,704.04,3,1,2,312,0
266,12613.0,10,6835.07,683.507,10,6835.07,57,10,6835.07,3,4,4,344,0
267,12614.0,1,315.6,315.6,1,315.6,278,1,315.6,2,1,1,211,1
268,12615.0,8,5740.9800000000005,717.6225000000001,8,5740.9800000000005,2,8,5740.9800000000005,4,4,4,444,0
269,12616.0,3,1131.1,377.0333333333333,3,1131.1,95,3,1131.1,3,2,3,323,1
270,12617.0,1,355.53000000000003,355.53000000000003,1,355.53000000000003,29,1,355.53000000000003,3,1,2,312,0
271,12618.0,1,177.31,177.31,1,177.31,22,1,177.31,4,1,1,411,0
272,12619.0,10,3781.38,378.13800000000003,10,3781.38,16,10,3781.38,4,4,4,444,0
273,12620.0,3,1339.41,446.47,3,1339.41,15,3,1339.41,4,2,3,423,0
274,12621.0,35,24775.81,707.8802857142857,35,24775.81,2,35,24775.81,4,4,4,444,0
275,12622.0,1,180.1,180.1,1,180.1,232,1,180.1,2,1,1,211,1
276,12623.0,7,3747.84,535.4057142857143,7,3747.84,276,7,3747.84,2,3,4,234,1
277,12624.0,2,641.13,320.565,2,641.13,106,2,641.13,2,2,2,222,1
278,12625.0,4,5164.88,1291.22,4,5164.88,212,4,5164.88,2,3,4,234,1
279,12626.0,9,6620.4800000000005,735.6088888888889,9,6620.4800000000005,23,9,6620.4800000000005,4,4,4,444,0
280,12627.0,7,4478.53,639.79,7,4478.53,11,7,4478.53,4,3,4,434,0
281,12628.0,3,786.46,262.15333333333336,3,786.46,4,3,786.46,4,2,2,422,0
282,12629.0,2,1558.22,779.11,2,1558.22,386,2,1558.22,1,2,3,123,1
283,12630.0,2,1270.88,635.44,2,1270.88,10,2,1270.88,4,2,3,423,0
284,12631.0,6,3481.57,580.2616666666667,6,3481.5699999999997,57,6,3481.57,3,3,4,334,0
285,12632.0,2,804.88,402.44,2,804.88,521,2,804.88,1,2,2,122,1
286,12633.0,7,5678.16,811.1657142857142,7,5678.16,59,7,5678.16,3,3,4,334,0
287,12634.0,2,490.0,245.0,2,490.0,536,2,490.0,1,2,2,122,1
288,12635.0,4,2930.41,732.6025,4,2930.41,90,4,2930.41,3,3,4,334,0
289,12636.0,1,141.0,141.0,1,141.0,739,1,141.0,1,1,1,111,1
290,12637.0,12,8340.31,695.0258333333333,12,8340.31,67,12,8340.31,3,4,4,344,0
291,12638.0,2,921.49,460.745,2,921.49,33,2,921.49,3,2,3,323,0
292,12639.0,3,1312.3700000000001,437.4566666666667,3,1312.3700000000001,239,3,1312.3700000000001,2,2,3,223,1
293,12640.0,3,1174.58,391.52666666666664,3,1174.58,24,3,1174.58,4,2,3,423,0
294,12641.0,1,185.9,185.9,1,185.9,115,1,185.9,2,1,1,211,1
295,12642.0,3,1013.26,337.75333333333333,3,1013.26,25,3,1013.26,4,2,3,423,0
296,12643.0,12,8350.42,695.8683333333333,12,8350.42,128,12,8350.42,2,4,4,244,1
297,12644.0,4,1918.49,479.6225,4,1918.49,130,4,1918.49,2,3,3,233,1
298,12645.0,8,3539.3,442.4125,8,3539.3,34,8,3539.3,3,4,4,344,0
299,12646.0,2,1346.97,673.485,2,1346.97,5,2,1346.97,4,2,3,423,0
300,12647.0,36,17924.35,497.89861111111105,36,17924.35,22,36,17924.35,4,4,4,444,0
301,12648.0,4,1112.0,278.0,4,1112.0,155,4,1112.0,2,3,3,233,1
